CÓD,NOME,UND
311,AGUA C/GÁS 2L,UND
209,"POLPA 1,2KG ABACAXI",PC
212,"POLPA 1,2KG ACEROLA",PC
211,"POLPA 1,2KG LARANJA",PC
295,"POLPA 1,2KG LIMÃO",PC
243,"POLPA 1,2KG MANGA",PC
235,"POLPA 1,2KG MORANGO",PC
257,"POLPA 1,2KG MARACUJÁ",PC
210,"POLPA 1,2KG UVA",PC
262,"POLPA 1,2KG PESSEGO",PC
34,REFRESCO PO MISTO,UND
,REFRESCO PO ABACAXI,UND
,REFRESCO PO GUARANÁ,UND
,REFRESCO PO LARANJA,UND
,REFRESCO PO LIMÃO,UND
,REFRESCO PO MARACUJÁ,UND
,REFRESCO PO MORANGO,UND
,REFRESCO PO PESSEGO,UND
,REFRESCO PO SALADA DE FRUTAS,UND
,REFRESCO PO UVA,UND
100,REFRIGERANTE COCA COLA 2L,UND
101,REFRIGERANTE COCA COLA ZERO 2L,UND
99,REFRIGERANTE GUARANA ANTARTICA 2L,UND
102,REFRIGERANTE GUARANA FRUKI 2L,UND
292,REFRIGERANTE PET 200ML,UND
167,REFRIGERANTE PEPSI 2L,UND
232,REFRIGERANTE COCA COLA LATA 350ML,UND
233,REFRIGERANTE COCA COLA ZERO LATA 350ML,UND
229,REFRIGERANTE FANTA LATA 350ML,UND
230,REFRIGERANTE GUARANA LATA 350ML,UND
231,REFRIGERANTE SPRITE LATA 350ML,UND
195,SUCO CX,UND
35,SUCO EM PO,UND
294,SUCO TANG,UND
199,SUCO MARACUJA 500ML,UND
117,VINHO TINTO SECO,UND
117,VINHO TINTO SUAVE,UND
