CÓD,NOME,UND
286,ACHOCOLATADO 700G,UND
222,ACHOCOLATADO NESCAU 2KG,UND
38,ACHOCOLATADO 400G,UND
306,AÇAFRÃO,UND
13,AÇUCAR,KG
250,AÇUCAR SACHE 1000,UND
39,ADOÇANTE LIQUIDO,UND
215,AGUA MINERAL 500ML SEM GÁS,UND
216,AGUA MINERAL COM GÁS 500ML,UND
147,ALCAPARRAZ,UND
40,AMACIANTE DE CARNE,KG
204,AMEIXA SECA 150G,UND
308,AMENDOIM,UND
291,AMIDO DE MILHO 1KG,UND
12,ARROZ,KG
296,ARROZ INTEGRAL,KG
273,AVEIA FLOCOS 500G,UND
322,AZEITE DE OLIVA,UND
43,AZEITONA VERDE SACHE,UND
36,BATATA CONGELADA,KG
16,BATATA PALHA,KG
44,BISCOITO MARIA,UND
263,CARVÃO 5KG,UND
253,CARVÃO 8KG,UND
45,CAFE PO CABOCLO 500G,UND
168,CAFE PO MELITTA 500G,UND
46,CALDO DE CARNE,KG
17,CALDO DE GALINHA,KG
47,CANELA EM CASCA,UND
48,CANELA EM PO 50G,UND
307,CANJICA,UND
49,CATCHUPP BISNAGA,UND
270,CATCHUPP SACHE KG,UND
221,CHA CX,UND
50,COCO RALADO 50G,UND
18,COGUMELO FAT,UND
285,COLORAU,UND
52,COMPOTA ABACAXI,UND
53,COMPOTA FIGO,UND
169,COMPOTA PESSEGO,UND
149,CONFEITO GRA CHOCOLATE,UND
217,CONFEITO GRANULADO COLORIDO,UND
55,CRAVO DA INDIA 10G,UND
19,CREME LEITE 200G,UND
251,CURRY 30G,UND
60,DOCE DE FRUTAS,UND
59,DOCE DE LEITE,UND
283,EMULSIFICANTE,UND
61,ERVILHA CONSERVA LT 350G,UND
62,ERVILHA PARTIDA 500G,UND
234,ESSENCIA BAUNILHA,UND
20,EXTRATO TOMATE LT 350G,UND
67,FARINHA DE MILHO MÉDIA,KG
,FARINHA DE MILHO GROSSA,KG
,FARINHA DE MILHO FINA,KG
153,FARINHA DE ROSCA 500G,UND
68,FARINHA DE TRIGO,KG
66,FARINHA MANDIOCA,KG
185,FAROFA TEMPERADA,KG
202,FEIJÃO CARIOCA,KG
69,FEIJÃO PRETO,KG
70,FERMENTO RAPIDO 11G MONOPOL,UND
249,FERMENTO BIOLOGICO 10G,UND
309,FILTRO DE CAFÉ 103,UND
21,GELATINA FRAMBOESA,UND
135,GELATINA ABACAXI,UND
206,GELATINA CEREJA,UND
22,GELATINA LIMAO,UND
23,GELATINA MORANGO,UND
24,GELATINA UVA,UND
214,GELATINA 520G,UND
201,GELATINA SACHE SEM SABOR,UND
25,GRAO DE BICO 500G,UND
75,LEITE CONDENSADO,UND
133,LENTILHA 500G,UND
305,LENHA,UND
80,MAIONESE 1KG,KG
297,MAIONESE 200G,UND
162,MASSA CABELO DE ANJO,UND
155,MASSA CARAMUJO,UND
82,MASSA ESPAGUETE,UND
310,MASSA INTEGRAL,UND
254,MASSA INSTANTANEA YAKYSSOBA,UND
83,MASSA PARAFUSO,UND
84,MASSA PENNE,UND
158,MASSA ROLO LASANHA,UND
85,MILHO VERDE LT,UND
171,MOLHO DE ALHO,UND
170,MOLHO DE PIMENTA,UND
87,MOLHO INGLES,UND
163,MOLHO PESTO,UND
27,MOLHO SHOYU,UND
86,MOLHO TOMATE,UND
89,MOSTARDA BISNAGA,UND
271,MOSTARDA SACHE KG,UND
156,NHOQUE DE BATATA,KG
281,NOZ MOSCADA,UND
91,OLEO DE SOJA,UND
92,OREGANO 100G,UND
93,OVOS,BD
203,PÃO DE FORMA,UND
284,PAPRICA 30G,UND
29,PUDIM PO BAUNILHA,PC
30,PUDIM PO CARAMELO,PC
31,PUDIM PO CHOCOLATE,PC
32,PUDIM PO COCO,PC
151,PUDIM PO MORANGO,PC
106,SAGU,UND
159,SAL GROSSO,KG
186,SAL GROSSO TEMPERADO,KG
14,SAL REFINADO,KG
245,SAL SACHE,UND
110,SARDINHA LATA,UND
272,SEMENTE LINHAÇA 500G,UND
111,TEMPERO COMPLETO 300G,UND
112,TRIGO KIBE,UND
188,UVA PASSAS,UND
115,VINAGRE BRANCO 750ML,UND
116,VINAGRE TINTO 750ML,UND
