CATEGORIA,CÓD,NOME,UND,PRECO
Insumos,286,ACHOCOLATADO 700G,UND,"7,31"
Insumos,222,ACHOCOLATADO NESCAU 2KG,UND,"37,90"
Insumos,38,ACHOCOLATADO 400G,UND,"5,50"
Insumos,306,AÇAFRÃO,UND,"3,50"
Insumos,13,AÇUCAR,KG,"3,05"
Insumos,250,AÇUCAR SACHE 1000,UND,"0,00"
Insumos,39,ADOÇANTE LIQUIDO,UND,"3,14"
Insumos,215,AGUA MINERAL 500ML SEM GÁS,UND,"0,00"
Insumos,216,AGUA MINERAL COM GÁS 500ML,UND,"0,00"
Insumos,147,ALCAPARRAZ,UND,"10,32"
Insumos,40,AMACIANTE DE CARNE,KG,"11,82"
Insumos,204,AMEIXA SECA 150G,UND,"0,00"
Insumos,308,AMENDOIM,UND,"0,00"
Insumos,291,AMIDO DE MILHO 1KG,UND,"8,77"
Insumos,12,ARROZ,KG,"2,83"
Insumos,296,ARROZ INTEGRAL,KG,"5,54"
Insumos,273,AVEIA FLOCOS 500G,UND,"0,00"
Insumos,322,AZEITE DE OLIVA,UND,"15,79"
Insumos,43,AZEITONA VERDE SACHE,UND,"4,24"
Insumos,36,BATATA CONGELADA,KG,"10,08"
Insumos,16,BATATA PALHA,KG,"21,53"
Insumos,44,BISCOITO MARIA,UND,"5,49"
Insumos,263,CARVÃO 5KG,UND,"0,00"
Insumos,253,CARVÃO 8KG,UND,"0,00"
Insumos,45,CAFE PO CABOCLO 500G,UND,"23,86"
Insumos,168,CAFE PO MELITTA 500G,UND,"25,01"
Insumos,46,CALDO DE CARNE,KG,"10,46"
Insumos,17,CALDO DE GALINHA,KG,"7,22"
Insumos,47,CANELA EM CASCA,UND,"5,82"
Insumos,48,CANELA EM PO 50G,UND,"4,01"
Insumos,307,CANJICA,UND,"0,00"
Insumos,49,CATCHUPP BISNAGA,UND,"0,00"
Insumos,270,CATCHUPP SACHE KG,UND,"8,63"
Insumos,221,CHA CX,UND,"3,85"
Insumos,50,COCO RALADO 50G,UND,"2,99"
Insumos,18,COGUMELO FAT,UND,"5,33"
Insumos,285,COLORAU,UND,"2,99"
Insumos,52,COMPOTA ABACAXI,UND,"0,00"
Insumos,53,COMPOTA FIGO,UND,"15,99"
Insumos,169,COMPOTA PESSEGO,UND,"11,90"
Insumos,149,CONFEITO GRA CHOCOLATE,UND,"0,00"
Insumos,217,CONFEITO GRANULADO COLORIDO,UND,"0,00"
Insumos,55,CRAVO DA INDIA 10G,UND,"4,38"
Insumos,19,CREME LEITE 200G,UND,"2,67"
Insumos,251,CURRY 30G,UND,"0,00"
Insumos,60,DOCE DE FRUTAS,UND,"4,60"
Insumos,59,DOCE DE LEITE,UND,"7,40"
Insumos,283,EMULSIFICANTE,UND,"10,50"
Insumos,61,ERVILHA CONSERVA LT 350G,UND,"2,60"
Insumos,62,ERVILHA PARTIDA 500G,UND,"4,55"
Insumos,234,ESSENCIA BAUNILHA,UND,"0,00"
Insumos,20,EXTRATO TOMATE LT 350G,UND,"3,08"
Insumos,67,FARINHA DE MILHO MÉDIA,KG,"3,58"
Insumos,,FARINHA DE MILHO GROSSA,KG,"0,00"
Insumos,,FARINHA DE MILHO FINA,KG,"0,00"
Insumos,153,FARINHA DE ROSCA 500G,UND,"6,13"
Insumos,68,FARINHA DE TRIGO,KG,"3,51"
Insumos,66,FARINHA MANDIOCA,KG,"5,50"
Insumos,185,FAROFA TEMPERADA,KG,"3,77"
Insumos,202,FEIJÃO CARIOCA,KG,"7,95"
Insumos,69,FEIJÃO PRETO,KG,"5,53"
Insumos,70,FERMENTO RAPIDO 11G MONOPOL,UND,"0,62"
Insumos,249,FERMENTO BIOLOGICO 10G,UND,"0,93"
Insumos,309,FILTRO DE CAFÉ 103,UND,"2,94"
Insumos,21,GELATINA FRAMBOESA,UND,"0,00"
